Word,English translation,Word class,Imageability (level),Imageability,Subjective AoA (level),Subjective AoA,Usage frequency (level),Usage frequency,Usage frequency per million words,No. phonological neighbours (level),No. phonological neighbours,Phonological neighbourhood density (level),Phonological neighbourhood density,Phonological neighbours,No. letters,No. sounds,No. syllables,Derivation?,Compound?,First sound fricative?,Starts in consonant cluster?,Grammatical gender,Mainly used in plural?,Mass noun?,Valency,Transitivity,Multi-word phrase?
å advare,,verb,low,3.88,,,medium,21891,31.27285714,some,4,medium,18504,"advarer (20), advarte (4), advares (1), advar (<1)",6,6,3,FALSE,TRUE,FALSE,FALSE,,,,,transitive,FALSE
å ake,to sledge/to sled,verb,medium,6.190970435,early,3.214285714,medium,6755,9.65,many,26,high,320550,"uke (164), øke (89), arne (81), aker (39), age (20), make (16), ane (11), kake (8), ale (5), lake (4), bake (4), ape (1), arte (1), rake (1), hake (1), auke (1), åke (1), sake (<1), eike (<1), ave (<1), vake (<1), akte (<1), ase (<1), akke (<1), avet (<1), kjake (<1), akes (<1)",3,3,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å angre,,verb,low,3.85,,,medium,11161,15.94428571,some,9,medium,14937,"angrer (11), anke (5), angret (3), angle (<1), angra (<1), ankre (<1), ange (<1), agne (<1), sangre (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,,transitive,FALSE
å anklage,to accuse,verb,low,3.850009793,late,10.4,medium,8147,11.63857143,some,7,medium,12036,"anklager (7), anklaget (6), anklage (2), anklages (1), anklaga (<1), innklage (<1), anklag (<1)",7,7,3,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å ansette,,verb,low,3.7,,,medium,33614,48.02,some,8,medium,103560,"ansatte (132), ansett (9), ansetter (3), ansettes (1), innsette (<1), anrette (<1), unnsette (<1), anst (<1), ansete (<1)",7,6,3,FALSE,TRUE,FALSE,FALSE,,,,,transitive,FALSE
å anslå,to estimate,verb,low,3.52722456,late,12.18181818,medium,10714,15.30571429,some,4,medium,5937,"anslår (5), anslås (2), anslo (1), unnslå (<1)",5,5,2,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å åpne,to open,verb,medium,6.228438716,early,3.140350877,high,111605,159.4357143,some,6,medium,95100,"åpner (60), åpnet (59), åpnes (14), åpna (1), åene (<1), ående (<1), å-ene (<1), tåpne (<1)",4,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å arbeide,to work,verb,medium,4.962767123,medium,4.533333333,high,101916,145.5942857,some,5,high,297634,"arbeid (180), arbeidet (165), arbeider (73), arbeides (5), arbeida (<1)",7,6,3,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å avansere,,verb,low,3.37,,,medium,6720,9.6,few,3,medium,12579,"avanserte (16), avanserer (1), avanser (<1)",8,8,4,FALSE,FALSE,FALSE,FALSE,,,,,alternating,FALSE
å avbryte,to cancel/to interrupt,verb,low,3.34120217,late,7.857142857,medium,8655,12.36428571,few,3,medium,2636,"avbrytes (1), avbryter (1), avbryt (<1)",7,7,3,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å avgi,to submit/to cast,verb,low,2.648171658,late,11.42857143,medium,13520,19.31428571,few,3,medium,3882,"avgir (4), avgis (<1), avsi (<1)",4,4,2,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å avlive,to put to death/to euthanize/to kill,verb,medium,5.108741973,late,8.833333333,medium,5362,7.66,some,5,medium,3518,"avlivet (2), avlives (1), avliver (<1), avliva (<1), avliv (<1)",6,6,3,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å avsky,to loath/to detest,verb,low,4.076778652,late,10.92857143,low,716,1.022857143,few,3,medium,2190,"avsky (2), avskyr (<1), avskys (<1)",5,4,2,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å avtale,to agree,verb,low,3.736804887,medium,7,medium,14253,20.36142857,some,7,medium,73877,"avtale (60), avtaler (26), avtalt (11), avtalte (3), avtales (3), avtal (<1), avtala (<1)",6,6,3,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å bade,to bathe,verb,high,6.718871271,early,2.254545455,medium,8122,11.60285714,many,20,high,1533950,"bare (1423), både (680), bane (19), badet (12), badet (12), base (11), lade (7), bøyde (4), bake (4), ladet (3), bale (2), bader (2), rade (1), jade (1), bate (<1), bede (<1), fade (<1), bada (<1), vade (<1), bades (<1), byde (<1)",4,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bære,to carry,verb,medium,6.091557709,early,3.235294118,high,44846,64.06571429,many,21,high,2507399,"være (1895), bare (1423), lære (105), kjære (41), bærer (28), ære (20), nære (19), berre (15), skjære (6), gjerdet (6), gjerde (5), sære (3), bæres (2), pære (1), borde (<1), gjære (<1), båre (<1), bæret (<1), tjære (<1), tære (<1), bure (<1), blære (<1), læret (<1), børe (<1), ferde (<1)",4,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bake,to bake,verb,medium,6.251979697,medium,3.857142857,medium,6003,8.575714286,many,25,high,1072641,"bare (1423), bakke (21), bane (19), make (16), base (11), kake (8), bade (6), bakre (4), baker (4), lake (4), bale (2), rake (1), hake (1), sake (<1), bakte (<1), bate (<1), vake (<1), bakes (<1), ake (<1), brake (<1), baka (<1), baket (<1), beke (<1), kjake (<1), båke (<1)",4,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å balansere,to balance,verb,medium,5.765372765,medium,5.923076923,medium,6946,9.922857143,some,4,medium,3814,"balanserer (2), balanserte (2), balanseres (<1), balanser (<1)",9,9,4,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å banke,to knock,verb,medium,5.701154636,early,3.5,medium,13915,19.87857143,many,22,medium,127623,"tanke (67), banken (30), banker (22), bakke (21), banket (8), banket (8), blanke (8), anke (5), bunke (1), sanke (1), barske (1), banka (<1), bange (<1), danke (<1), manke (<1), benke (<1), bankes (<1), vanke (<1), ranke (<1), barka (<1), lanke (<1), barke (<1), baske (<1)",5,5,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å banke på,to knock on,verb,medium,6.477744332,early,3.649122807,medium,2329,3.327142857,no info,,,,no info,8,8,3,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,TRUE
å barbere,to shave,verb,high,6.61855339,medium,6.076923077,medium,2902,4.145714286,some,5,low,1829,"barberer (1), barberte (<1), barber (<1), barberes (<1), barberen (<1)",7,7,3,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å barbere seg,to shave (oneself),verb,medium,6.298010614,medium,5.06,low,390,0.557142857,no info,,,,no info,11,10,4,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,TRUE
å be,to pray,verb,medium,6.12845823,medium,4.5,high,194574,277.9628571,many,35,high,22813935,"det (16712), med (9528), ble (1928), ved (1598), se (1032), ned (527), re (360), by (296), skje (90), he (76), ber (67), bo (47), ba (39), le (38), te (36), bad (32), bi (29), ben (25), bred (24), ve (17), bø (14), v. (13), ne (11), bet (8), bes (6), bu (4), bød (4), fe (3), kje (3), beige (3), bre (2), bek (1), bøy (1), bel (1), bæ (<1), baug (<1), bev (<1), baud (<1)",2,2,1,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å begrave,to bury,verb,medium,5.982692461,medium,6.066666667,medium,6038,8.625714286,some,4,medium,4039,"begravet (3), begraves (1), begraver (<1), begrav (<1)",7,7,3,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å begripe,to comprehend,verb,low,2.741886589,late,8.615384615,medium,5834,8.334285714,few,3,low,822,"begriper (1), begripes (<1), begrip (<1)",7,7,3,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å begynne,to start,verb,low,3.692561966,medium,4.083333333,high,261640,373.7714286,some,4,high,230118,"begynner (146), begynte (125), begynt (52), begynn (4)",7,6,3,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å beholde,,verb,low,3.36,,,high,37617,53.73857143,some,5,medium,20200,"beholder (11), beholdt (8), behold (5), beholdes (3), beholdte (<1)",7,6,3,FALSE,FALSE,FALSE,FALSE,,,,,transitive,FALSE
å behøve,to need,verb,low,2.600716762,late,7.846153846,medium,18411,26.30142857,some,6,medium,42965,"behovet (37), behøver (21), behøves (1), bedøve (<1), berøve (<1), behøv (<1)",6,6,3,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å benke seg,to sit down in a row/around a table,verb,medium,4.732890355,late,12.5,low,412,0.588571429,no info,,,,no info,9,8,3,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,TRUE
å benytte,to use,verb,low,3.708444092,late,9.454545455,high,108707,155.2957143,some,6,medium,95299,"benyttes (41), benytter (34), benyttet (32), beskytte (24), benytt (2), benytta (<1)",7,6,3,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å beregne,,verb,low,3.97,,,medium,27804,39.72,some,6,medium,24880,"beregnet (24), beregnes (6), beregner (2), betegne (1), beregn (1), beregna (<1)",7,6,3,FALSE,FALSE,FALSE,FALSE,,,,,transitive,FALSE
å beskrive,to describe,verb,low,3.332163453,medium,7.5,high,67024,95.74857143,few,3,medium,35334,"beskriver (35), beskrives (12), beskriv (1)",8,8,3,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bestå av,to consist of,verb,low,2.718258695,late,9,high,60222,86.03142857,no info,,,,no info,8,8,3,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,TRUE
å bestemme seg,to decide,verb,low,3.929215606,medium,4.769230769,medium,21147,30.21,no info,,,,no info,12,10,4,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,TRUE
å betale,,verb,medium,5.59,,,high,142574,203.6771429,some,7,medium,86872,"betaler (48), betalt (44), betalte (17), betales (10), betal (1), befalet (<1), betakke (<1)",6,6,3,FALSE,FALSE,FALSE,FALSE,,,,,alternating,FALSE
å beundre,,verb,low,4.36,,,medium,3587,5.124285714,some,5,medium,3583,"beundrer (3), beundret (1), beundres (<1), beundra (<1), beundr (<1)",7,7,3,FALSE,FALSE,FALSE,FALSE,,,,,transitive,FALSE
å bevise,to prove,verb,low,3.629249745,late,9,medium,22316,31.88,some,6,medium,36513,"bevis (26), bevist (11), beviser (9), beviste (2), bevises (1), bevisa (<1)",6,6,3,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bikke,to tilt/to tip/to topple,verb,low,4.426835431,late,10.5,low,1271,1.815714286,many,25,high,5276609,"ikke (7479), bakke (21), binde (8), kikke (6), brikke (4), bitte (3), rikke (3), nikke (1), booke (1), bukke (1), bille (<1), bikkje (<1), bikker (<1), bikket (<1), tikke (<1), hikke (<1), binge (<1), binne (<1), skikke (<1), bikka (<1), vikke (<1), pikke (<1), dikke (<1), biske (<1), bidde (<1), chice (<1), bikte (<1), bikse (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bile,to drive by car,verb,medium,5.849656068,medium,7.6,low,492,0.702857143,many,23,medium,134819,"bilen (99), biler (54), hvile (14), bite (7), file (4), bale (2), mile (2), kile (1), bie (<1), bille (<1), sile (<1), ile (<1), pile (<1), bøyle (<1), bule (<1), bole (<1), bøle (<1), bila (<1), tile (<1), beile (<1), tilet (<1), bise (<1), bilte (<1), bølet (<1), biles (<1)",4,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å binde,to bind/to tie/to fasten,verb,medium,5.149015014,medium,6.615384615,medium,21299,30.42714286,many,30,high,453347,"finne (301), inne (169), vinne (61), minne (32), tine (12), minnet (12), sinne (10), binder (7), bonde (7), blinde (6), sinnet (4), bitte (3), pinne (3), skinne (2), banne (2), bindes (1), linde (1), bille (<1), bindet (<1), bikkje (<1), hinne (<1), bikke (<1), botne (<1), binge (<1), vinde (<1), bunne (<1), bønne (<1), binner (<1), binna (<1), bonne (<1), linne (<1), kinne (<1), bende (<1), rinne (<1), binnen (<1), bidde (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bite,to bite,verb,medium,5.999797962,early,2.807017544,medium,17347,24.78142857,many,21,high,377196,"lite (335), vite (116), hvite (47), biter (15), beite (5), biten (4), bitte (3), bøte (2), beitet (2), bie (<1), bate (<1), byte (<1), bites (<1), nite (<1), rite (<1), bete (<1), bile (<1), skite (<1), tite (<1), bise (<1), bilte (<1), baute (<1), biete (<1)",4,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bivåne,to witness,verb,low,3.36924292,late,14.75,low,649,0.927142857,some,7,low,300,"bivånet (<1), bivåner (<1), bivånes (<1), bivånte (<1), bivånt (<1), bivåna (<1)",6,6,3,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å bjeffe,to bark,verb,medium,6.176211276,early,3.288135593,medium,2391,3.415714286,some,6,medium,2957,"bjeffer (1), bjelle (1), bjeffet (<1), bjeffet (<1), bjeffa (<1), bjeffes (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,intransitive,FALSE
å bjelle,to ring a bell,verb,low,3.870773233,medium,6.142857143,low,0,0,no info,,,,no info,6,5,2,TRUE,FALSE,FALSE,TRUE,,,,2,transitive,FALSE
å blande,to mix,verb,medium,4.990277578,medium,4.428571429,medium,27210,38.87142857,some,17,medium,37529,"blandet (13), blander (9), lande (8), blinde (6), blandes (4), blonde (4), banne (2), bladde (1), blanda (1), blasse (<1), blende (<1), blakke (<1), brande (<1), blunde (<1), blaffe (<1), blanden (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,2,transitive,FALSE
å blåse,to blow,verb,medium,6.259536694,early,2.872727273,medium,19566,27.95142857,some,11,medium,18163,"blåser (11), blåste (6), låse (5), blåses (1), bluse (<1), blåe (<1), blåne (<1), blåsa (<1), blåsen (<1), flåse (<1), bleset (<1)",5,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å bli,to become/to stay,verb,low,3.41013962,medium,4.181818182,high,3721973,5317.104286,some,18,high,2781737,"ble (1928), blir (1848), blå (43), bi (29), bla (28), blod (26), blei (23), blad (21), gli (9), li (6), bly (2), blø (2), sli (<1), blidt (<1), glid (<1), kli (<1), brie (<1), fli (<1), bliv (<1), pli (<1)",3,3,1,FALSE,FALSE,FALSE,TRUE,,,,1,intransitive,FALSE
å blunke,to wink,verb,medium,6.292294612,medium,4.314814815,low,1442,2.06,some,10,medium,9572,"blanke (8), bunke (1), blinke (1), blunker (<1), blunket (<1), blunket (<1), lunke (<1), blunka (<1), klunke (<1), blunkes (<1)",6,6,2,FALSE,FALSE,FALSE,TRUE,,,,1,intransitive,FALSE
å bo,to live,verb,medium,5.393630564,early,3.666666667,high,122228,174.6114286,many,34,high,2746682,"to (1358), jo (881), god (625), by (296), be (133), bor (111), bok (104), lo (53), ho (52), do (47), ba (39), ro (35), bad (32), bi (29), blod (26), bord (16), bø (14), mo (11), bot (10), bro (7), co. (7), bu (4), bød (4), zoo (3), bod (3), bon (3), boet (2), bog (1), bol (1), bøy (1), boa (<1), bos (<1), bæ (<1), baug (<1), obo (<1), baud (<1), ibo (<1)",2,2,1,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å bokse,to box,verb,medium,6.245780637,medium,5.571428571,medium,3214,4.591428571,some,9,medium,22384,"vokse (19), bokser (7), bukse (3), bokset (<1), boksa (<1), bakse (<1), bokses (<1), bykse (<1), bikse (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å bølge,to make waves,verb,medium,4.786282287,medium,6.444444444,low,1667,2.381428571,some,8,medium,164201,"følge (217), bølger (7), bølgen (5), følget (1), bølget (<1), bølle (<1), bølga (<1), dølge (<1), bølgje (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å bolte,to bolt,verb,medium,4.530390476,late,12.21428571,low,434,0.62,some,14,medium,34191,"solgte (32), belte (4), bolle (3), beltet (2), boltre (2), bolter (<1), volte (<1), holdte (<1), bolne (<1), boltet (<1), molte (<1), voldte (<1), bolde (<1), bolta (<1), boltes (<1), bylte (<1)",5,5,2,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å bore,to drill,verb,medium,6.234445564,medium,6.296296296,medium,4017,5.738571429,some,14,medium,21959,"berre (15), borge (4), bolle (3), boret (2), bora (<1), borer (<1), borde (<1), båre (<1), barre (<1), orre (<1), botne (<1), borrer (<1), bonne (<1), forre (<1), borra (<1), borren (<1), bonge (<1)",4,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å børste,to brush,verb,medium,6.165631783,medium,4.3,medium,2648,3.782857143,some,10,high,511149,"første (721), bøtte (2), tørste (2), børstet (1), børster (1), børsta (<1), børsten (<1), børstes (<1), børse (<1)",6,5,2,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å bråke,to make noise,verb,medium,5.438286861,early,3.692307692,medium,2475,3.535714286,some,16,high,238859,"bruke (328), bråket (3), bråket (3), bråker (2), kråke (1), bråte (<1), brake (<1), brokke (<1), bråkte (<1), bråe (<1), bråka (<1), råke (<1), breke (<1), bråkes (<1), båke (<1), bråne (<1)",5,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å brekke,to break,verb,medium,5.977649016,early,3.666666667,medium,4887,6.981428571,many,21,medium,193891,"rekke (168), trekke (60), bredde (13), brenne (12), årrekke (6), brikke (4), frekke (3), brette (1), brekker (1), brakke (1), bredte (<1), brekken (<1), brekka (<1), brekkes (<1), brekket (<1), brekket (<1), brokke (<1), blekke (<1), brekte (<1), breke (<1), bresje (<1), bremme (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,2,transitive,FALSE
å brenne,to burn,verb,medium,6.168552844,medium,4.079365079,medium,32016,45.73714286,some,12,medium,32790,"brenner (13), bredde (13), brekke (7), renne (4), brente (2), brennes (1), brette (1), bredte (<1), blende (<1), brande (<1), bende (<1), bresje (<1), bremme (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å brenne (seg),,verb,medium,5.93,,,medium,32016,45.73714286,some,12,medium,32790,"brenner (13), bredde (13), brekke (7), renne (4), brente (2), brennes (1), brette (1), bredte (<1), blende (<1), brande (<1), bende (<1), bresje (<1), bremme (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,,alternating,FALSE
å brette,to fold,verb,medium,5.946421945,medium,4.8,medium,4162,5.945714286,many,24,medium,81913,"rette (59), bredde (13), brenne (12), brekke (7), brettet (5), brettet (5), bratte (3), brente (2), bretter (1), brutte (1), trette (1), brettes (<1), brite (<1), urette (<1), bretta (<1), frette (<1), brekte (<1), drette (<1), bedte (<1), breste (<1), bresje (<1), prette (<1), bremme (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,2,transitive,FALSE
å bruke,to use,verb,low,3.258361666,medium,4.857142857,high,680106,971.58,some,11,high,402203,"bruker (314), brukes (164), brukte (80), brune (8), bruket (2), bruse (1), bråke (<1), brake (<1), breke (<1), kruke (<1), ruke (<1)",5,5,2,FALSE,FALSE,FALSE,TRUE,,,,2,transitive,FALSE
å bry seg,to care,verb,medium,4.800916984,late,7.818181818,medium,18358,26.22571429,no info,,,,no info,7,6,2,FALSE,FALSE,FALSE,TRUE,,,,2,transitive,TRUE
å bryte ut,to break out,verb,medium,4.760871348,late,9.58490566,medium,5053,7.218571429,no info,,,,no info,8,8,3,FALSE,FALSE,FALSE,TRUE,,,,1,intransitive,TRUE
å bukke,to bow,verb,medium,6.101366041,medium,4.133333333,medium,2602,3.717142857,some,18,medium,128221,"borte (81), bodde (32), bakke (21), lukket (17), bonde (7), lukke (6), bukse (3), bukker (2), booket (2), bunke (1), bomme (1), bukket (1), bukket (1), booker (<1), bikke (<1), mukke (<1), bukka (<1), bookes (<1), booka (<1), bukte (<1), pukke (<1), bukkes (<1), bokne (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å burde,ought to,verb,low,2.492796577,medium,6.153846154,high,469500,670.7142857,some,10,medium,59656,"borte (81), berte (1), budde (<1), bulle (<1), butte (<1), bunne (<1), burte (<1), busse (<1), furte (<1), burdet (<1), budte (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å busse,to ride the bus,verb,medium,5.415519752,late,7.625,low,1006,1.437142857,many,24,medium,171158,"burde (205), bussen (20), busser (6), pusse (5), tusse (<1), budde (<1), blusse (<1), bulle (<1), basse (<1), nusse (<1), bøsse (<1), butte (<1), bunne (<1), bysse (<1), buse (<1), busset (<1), musse (<1), buste (<1), busses (<1), baisse (<1), susse (<1), buske (<1), bussa (<1), budte (<1), fusse (<1)",5,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å bygge,to build,verb,medium,5.861832513,early,2.777777778,high,172285,246.1214286,some,14,medium,177375,"bygget (62), bytte (53), bygger (51), byttet (25), bygges (23), brygge (10), bygde (8), skygge (6), rygge (6), tygge (2), hygge (2), bysse (<1), bydde (<1), byge (<1), byrge (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å dælje,to smash,verb,medium,5.807218335,late,9.692307692,low,35,0.05,no info,,,,no info,5,6,2,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å danse,to dance,verb,high,6.649445997,early,3.109090909,medium,21389,30.55571429,some,8,medium,54479,"danske (44), danne (16), danser (9), danset (5), dansa (<1), sanse (<1), danses (<1), lanse (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å deise,to flop,verb,low,4.346932937,late,8.214285714,low,427,0.61,some,18,medium,78703,"reise (91), dose (17), heise (<1), pace (<1), duse (<1), deiser (<1), deiset (<1), beise (<1), peise (<1), dyse (<1), døse (<1), dåse (<1), deisa (<1), meise (<1), deiste (<1), dreise (<1), seise (<1), skeise (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å dekke,to cover,verb,medium,5.266655475,medium,5.384615385,high,66344,94.77714286,many,25,high,3441476,"dette (3005), denne (1559), rekke (168), sjekke (45), dekker (30), dekket (27), dekket (27), dekkes (11), dukke (10), vekke (9), kjekke (4), dennes (2), dykke (2), demme (1), lekke (1), dokke (1), hekke (1), mekke (1), dekka (<1), tekket (<1), jekke (<1), denge (<1), deppe (<1), dekte (<1), tekke (<1), dikke (<1), degge (<1), gjekke (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å dele,to share,verb,medium,5.157568716,early,3.272727273,high,111879,159.8271429,some,16,high,1167467,"hele (841), dere (590), deler (168), deles (20), delte (15), tele (10), dale (7), fæle (2), kjele (2), mæle (2), sele (2), dvele (<1), fele (<1), sæle (<1), dela (<1), mele (<1), kjæle (<1), skjele (<1), velet (<1), vele (<1), mælet (<1), pæle (<1)",4,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å denge,to flog/to thrash,verb,medium,5.580300775,late,8.5,low,883,1.261428571,many,19,high,3463440,"dette (3005), denne (1559), lenge (279), dekke (34), dekket (27), henge (24), penge (6), dennes (2), demme (1), fenge (<1), menge (<1), fenget (<1), enge (<1), gjenge (<1), deppe (<1), denger (<1), dynge (<1), gjenget (<1), dengte (<1), dunge (<1), degge (<1), denges (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å dette,to fall,verb,medium,5.572561966,medium,3.909090909,medium,8434,12.04857143,many,26,high,1368629,"denne (1559), sette (188), rette (59), dekke (34), dekket (27), lette (24), mette (17), tette (10), sjette (9), gjette (5), dytte (3), vettet (3), nette (2), dennes (2), hette (2), demme (1), denge (<1), deppe (<1), jette (<1), dekte (<1), vette (<1), ætte (<1), dettet (<1), dengte (<1), dutte (<1), drette (<1), degge (<1), bedte (<1), demte (<1), vætte (<1), kjette (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å dirigere,to direct/to conduct,verb,medium,6.18373281,medium,7.508474576,low,1620,2.314285714,some,5,low,770,"dirigerer (<1), dirigerte (<1), dirigeres (<1), diriger (<1), irrigere (<1)",8,8,4,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å dra,to pull/to leave,verb,medium,4.852117413,early,3.692307692,high,148742,212.4885714,some,14,high,4561944,"fra (3925), da (1902), bra (522), dro (62), drar (57), drap (18), drøy (7), ra (5), drag (4), dry (3), drog (3), dras (2), kra (<1), gra (<1), drei (<1)",3,3,1,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å drikke,to drink,verb,high,6.701520813,early,2.25,high,43155,61.65,some,10,medium,25667,"drikker (25), brikke (4), rikke (3), drikkes (1), prikke (<1), drille (<1), vrikke (<1), dritte (<1), trikke (<1), dikke (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å drive,to drift/to pursue/to do/to make,verb,low,4.151810614,medium,6.571428571,high,130491,186.4157143,some,7,medium,85478,"driver (89), drives (17), rive (10), drite (3), driva (<1), driven (<1), trive (<1)",5,5,2,FALSE,FALSE,FALSE,TRUE,,,,2,transitive,FALSE
å drømme,to dream,verb,medium,5.305028051,medium,4.571428571,medium,19761,28.23,some,5,medium,33799,"drømmer (25), dømme (12), rømme (5), drømte (4), drønne (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å drukne,to drown,verb,medium,5.714083677,medium,5.576271186,medium,5784,8.262857143,some,6,medium,4902,"druknet (3), drukner (2), brukne (<1), drukna (<1), trukne (<1), rukne (<1)",6,6,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å dryppe,to drip,verb,medium,6.115246577,medium,4.614035088,medium,2084,2.977142857,some,8,medium,7598,"droppe (7), drypper (1), dryppet (<1), dryppet (<1), dyppe (<1), drysse (<1), dryppa (<1), drypte (<1)",6,5,2,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å dunke,to beat/to knock/to slam,verb,medium,5.327638125,medium,4.571428571,medium,2353,3.361428571,some,14,medium,6269,"dunker (1), bunke (1), dunket (1), dunket (1), runke (1), danke (<1), lunke (<1), dunka (<1), dynke (<1), konke (<1), dunge (<1), munke (<1), dunkes (<1), djunke (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å dusje,to shower,verb,high,6.763219467,medium,4.796610169,medium,3576,5.108571429,some,12,medium,11924,"dukke (10), dusjer (1), dusjet (1), pushe (1), pushet (<1), dulle (<1), duppe (<1), dusja (<1), dusjes (<1), dubbe (<1), dutte (<1), dugge (<1), tusje (<1)",5,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å dyrke,to grow/to cultivate,verb,medium,5.805243367,medium,6.461538462,medium,13487,19.26714286,some,9,medium,21966,"yrke (10), dyrket (5), yrket (4), dyrker (3), dyrkes (2), dykke (2), dyrka (1), dynke (<1), dirke (<1), vyrke (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
